loadingText
매운맛 레벨 조정 중…\n하지만 조절 안 될 수도 있음.
로딩 중입니다.\n국물 맛은 숙성 중입니다.
당신의 위장이 준비되길 기다리고 있어요.
청경채를 씻고 있습니다.\n로딩도 위생이 중요하죠!
혀를 달래는 중…\n아직 시작도 안 했는데요?
로딩이 길다고요?\n국물도 천천히 우려야 맛있죠.
마라신이 오늘도 당신을 시험합니다.
‘맵다’와 ‘행복하다’는 오늘도 같은 뜻입니다.
팽이버섯 vs 목이버섯.\n오늘의 최후의 생존자는?
로딩 중…\n혀의 방어력을 높이고 있습니다.
진정한 마라인은 국물부터 마신다.
깻잎은 넣지 마세요.\n분노 유발 요소입니다.
지금 로딩 중인 건\n여러분의 간도 포함입니다.
"마라탕에선 매운 게 정상이고,\n맛있는 건 보너스예요."
로딩 중…\n당신의 혀와 위장을 응원합니다!
적당한 맵기란 없다.\n그냥 더 맵거나 아주 맵거나.
혀를 위한 마지막 평온의 시간입니다.
마라탕 먹고 싶어서\n시작한 게임 아니었나요?
지금 고수의 향이\n서버를 뚫고 나오고 있어요.
"국물은 삶처럼 복잡하고,\n때로 뜨겁죠."
마라탕은 혀가 아니라\n정신으로 먹는 음식입니다.
오늘도 미각 대환장 파티에\n초대받으셨습니다.
"뜨겁고 매운 걸 좋아해?\n그럼, 환영이야."
이건 로딩이 아니라\n마라 수련의 시작이에요.
로딩이 길수록 국물 맛이 진해집니다.
"고수, 넣을까요 말까요?\n지금 투표 중이에요."
마라탕은 뜨거워야 제맛이죠.\n로딩도 마찬가지입니다.
로딩 중…\n마라의 영혼을 담는 중입니다.
